ticker,date,sector,setup,primary_setup,raw_score,score,score_trend,score_momentum,score_position,score_relative_strength,trend_ok,momentum_ok,liquidity_state,discovery_state,discovery_reason,regime_state,close,ma20,ma50,ma200,atr14,high_20d,low_20d,avg_vol_20,volume_ratio,breakout_strength,extension_atr,ret_20d_pct,rs_20d_pct,atr_pct,entry,stop,target,rr,grade
DELL,2026-05-20,TECHNOLOGY,NONE,,10.0,10.0,6.0,0.0,2.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,242.93,228.42,196.08,148.82,14.62,263.99,200.84,5681514,0.65,1.0,0.99,13.17,13.17,6.02,,,,,B
DHI,2026-05-20,CONSUMER CYCLICAL,NONE,,1.5,1.5,2.0,1.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,141.76,147.29,144.1,154.07,4.67,164.61,133.84,2174517,1.22,1.0,-1.18,-12.05,-12.05,3.29,,,,,C
DIS,2026-05-20,COMMUNICATION SERVICES,NONE,,3.0,3.0,4.0,0.0,0.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,104.08,103.95,101.19,108.62,2.81,110.48,100.06,8926819,0.71,0.0,0.05,-0.71,-0.71,2.7,,,,,C
DLR,2026-05-20,REAL ESTATE,NONE,,1.5,1.5,4.0,0.0,-0.5,-2.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,190.65,195.18,189.05,172.39,3.97,208.14,184.95,2134262,0.49,0.0,-1.14,-5.08,-5.08,2.08,,,,,C
DOCU,2026-05-20,TECHNOLOGY,NONE,,10.5,10.5,4.0,3.0,2.5,1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,49.73,47.01,46.93,61.23,2.22,51.42,43.61,3084006,0.78,2.5,1.23,4.65,4.65,4.46,,,,,B
DOW,2026-05-20,BASIC MATERIALS,NONE,,0.0,0.0,3.0,-2.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,36.27,38.74,38.68,28.55,1.49,41.47,36.72,11489987,1.33,1.0,-1.66,-6.54,-6.54,4.11,,,,,C
DPZ,2026-05-20,CONSUMER CYCLICAL,NONE,,0.0,0.0,1.0,1.0,0.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,315.97,327.16,354.09,403.51,10.41,375.42,297.48,1154852,0.62,0.5,-1.07,-13.65,-13.65,3.3,,,,,C
DUK,2026-05-20,UTILITIES,NONE,,0.35,0.35,1.7,0.0,-0.35,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,123.81,125.74,128.3,124.07,2.0,130.7,120.9,3197459,1.25,1.0,-0.96,-1.15,-1.15,1.62,,,,,C
DUOL,2026-05-20,TECHNOLOGY,NONE,,4.5,4.5,3.0,1.0,0.5,0.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,106.82,107.69,101.87,194.02,6.7,118.75,98.3,2063745,0.72,0.5,-0.13,1.23,1.23,6.27,,,,,B
DVN,2026-05-20,ENERGY,PULLBACK,PULLBACK,7.5,7.5,4.0,2.0,1.5,0.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,48.46,48.58,48.2,39.55,1.73,51.95,44.2,15116329,0.84,0.5,-0.07,2.84,2.84,3.57,48.58,44.2,57.33,2.0,A
